"Zeitstempel","Alter in Jahren:","Geschlecht:","Zu welcher der folgenden Gruppen zählen Sie sich am ehesten?","Gehörbildung ist in Ihrem Berufsalltag wichtig.","Mir wäre eine solche Trainingssoftware in meiner Ausbildung / Studium von Nutzen gewesen.","Ich würde Gehörbildung weiterhin mit einer Trainingssoftware üben.","Ich würde Gehörbildung weiterhin mit dieser Trainingssoftware üben.","Die Anwendung hat das Erkennen und Reproduzieren von Intervallen trainiert. ","Ich kann einen Nutzen für mein Studium aus dieser Anwendung ziehen.","Haben Sie schonmal Gehörbildung trainiert bzw. gelernt?","Welches Lernangebot haben Sie zum Lernen der Gehörbildung verwendet?","Wie oft hatten Sie die Möglichkeit auch praktisch zu üben? z.B. mit Gesang ","Ich hatte bisher eher weniger die Motivation mich in Sachen Gehörbildung zu verbessern.","Die Anwendung hat in mir die Motivation geweckt mich weiter mit Gehörbildung zu befassen.","Die Anwendung war eher zu schwer für mich.","Ich konnte mich durch die Verwendung des Programms im Bereich Gehörbildung verbessern.","Ich kann aus Gehörbildung einen Mehrwert für mein Hobby ziehen.","Ich übe regelmäßig Gehörbildung.","Das Singen von Intervallen hat mir beim Lernen geholfen.","Das Üben hat mir Spaß gemacht.","Die Anwendung lief flüssig und ohne Probleme auf meinem Gerät.","Ich habe die Tonerkennung als präzise empfunden.","Ich habe auf folgender Tonlage gesungen:","Mein verwendetes Mikrofon würde ich am ehesten Beschreiben als..","Die Tonerkennung funktionierte ohne Verzögerung.","Das Anpassen der Tonerkennung war einfach zu verstehen und ich konnte sie auf meine Stimme einstellen.","Ich kann mir vorstellen die Trainingssoftware in der Zukunft weiterhin zu verwenden.","Mir hat an der Anwendung gefehlt...","Mir hat an der Anwendung gut gefallen..."
"2021/06/09 11:47:32 AM OEZ","22","Weiblich","Student*In der Musik","","","","","5","5","","","","","","","","","5","5","5","5","5","Sopran","externes Mikrofon angeschlossen über einen USB-Port","5","5","5","Das Üben von bestimmten Intervallen, beispielsweise nur Terzen, nur Quinten etc. und das Üben von Akkorden","Ich konnte meine Lage auswählen, die Intervalle waren angenehm zu singen, Hilfen wie die Liedanfänge bei der Beschreibung des Intervalls. Die Tonerkennung erfolgte sehr direkt, aber ohne Nebengeräusche oder andere Töne als korrekten Ton zu erfassen "
"2021/06/09 12:07:25 PM OEZ","22","Männlich","Hobbymusiker*In","","","","","","","Nein","","","4","5","2","5","5","1","5","5","5","5","Bariton","eingebautes Mikrofon vom Laptop","5","3","5","mehr Module, Akkorde und Melodiediktat","Das Singen, die schnelle Tonerkennung, das übersichtliche Design und die leichte Bedienbarkeit "
"2021/06/11 6:06:35 PM OEZ","48","Männlich","Hobbymusiker*In","","","","","","","Ja","Musiklehrer;Schule","4","3","4","1","5","5","3","5","5","5","5","Bariton","eingebautes Mikrofon vom Laptop","5","5","5","",""
"2021/06/11 8:25:13 PM OEZ","49","Männlich","Hobbymusiker*In","","","","","","","Nein","","","3","4","2","5","5","2","4","4","5","5","Bariton","eingebautes Mikrofon vom Laptop","4","4","4","",""
"2021/06/11 8:42:54 PM OEZ","56","Männlich","Hobbymusiker*In","","","","","","","Nein","","","5","5","1","5","5","2","5","5","5","3","Bass","eingebautes Mikrofon vom Laptop","5","5","5","",""
"2021/06/11 9:48:48 PM OEZ","22","Männlich","Hobbymusiker*In","","","","","","","Nein","","","4","3","4","3","5","1","4","2","5","5","Bass","externes Mikrofon angeschlossen über die Mic-In Buchse (pinker Anschluss)","5","2","3","Probleme die ich bei der Verwendung der Anwendung (Windows) hatte:
1.  Eingabegerät und Stimmlage werden nach erneutem Aufruf der Optionen zurückgesetzt.
2. Einstellungen während den beiden Übungsmodi werden bei erneutem Start einer Übung zurückgesetzt.
3. Sinustöne sind nicht angenehm.
4. Es wäre schön wenn man sich ein Beispiel des geforderten Intervalls anhören könnte.
5.Notenschlüssel und Notenlinien sind anscheinend keine Vector-Grafik und daher in 4K durchaus unscharf. Sie stehen deshalb stark im Kontrast zu den eingeblendeten Noten und z.B. dem Zahnrad oben links.
6. Wenn man auf das Buch Klickt, wird die linke Spalte, also ""Thema"", ""Noten"", ""Notenschlüssel"" usw. nicht mit skaliert, sollte sich die Fenster Größe ändern.
7. Ich weis nicht warum, aber manchmal muss ich Zweimal auf ""Weiter"" klicken. 
8. Der ausgegebene Lautsprecher Tön wird von der Anwendung als ""Ton vom Anwender"" interpretiert, wenn die Lautsprecher laut genug spielen. vielleicht sollte in der Zeit in der der Lautsprecher den Grundton abspielt die Tonerkennung ausgeschaltet werden?
9. Information zu Noten: Rechtschreibfehler ""äußerde ->äußere 
10: Information zu Noten: Die Beschreibung der gestallt einer Note passt nicht ganz, Eine Ganze Note hat keinen Notenhals und wäre der Beschreibung der Anwendung nach keine Note.

Weitere Denkanstöße:
1. Warum kann man das Buch aus den Übungen nicht auch aus dem Hauptmenü aufrufen?
2. Warum gibt es Zwei verschiedene Optionsmenüs?

Ich hoffe meine gefundenen Kritikpunkte sind für die Weiterentwicklung deiner Anwendung hilfreich.","Die Anweisungen in den Übungen sind klar und die Lieder hinweise sind sehr hilfreich. "
"2021/06/13 10:26:05 AM OEZ","46","Männlich","profesionelle*r Musiker*In","5","3","4","5","","","","","","","","","","","2","4","5","4","5","Bariton","eingebautes Mikrofon vom Laptop","5","4","5","","dass ich sie beim Unterrichten meiner Schüler gut einsetzen kann!"
"2021/06/14 6:26:38 PM OEZ","22","Männlich","Student*In der Musik","","","","","5","2","","","","","","","","","1","1","2","3","2","Tenor","eingebautes Mikrofon vom Laptop","5","3","1","",""
"2021/06/15 11:47:40 AM OEZ","52","Weiblich","Hobbymusiker*In","","","","","","","Nein","","","5","5","3","5","2","1","5","5","5","4","Sopran","eingebautes Mikrofon vom Laptop","5","4","4","alles bestens","die Auseinandersetzung mit der Gehörbildung an sich und die Anwendung ist einfach in der Bedienung"
"2021/06/15 6:28:35 PM OEZ","41","Weiblich","Student*In der Musik","","","","","5","5","","","","","","","","","3","4","3","1","4","Alt","eingebautes Mikrofon vom Laptop","5","4","2","es ist leider wenig praktikabel. Ich habe einen Intervall- und Akkord-Trainer als App auf dem Handy. Die Anwenigung ist so ortsunabhängig, man muss nicht erst den Rechner einschalten.",""
